Soort;Code;Naam;Omschrijving;Begindatum;Einddatum;Parent;Informatiedomein
AANBIEDINGDETAILSTATUS;INH;Inkomen te hoog;Een aanbieding is ingetrokken, omdat op basis van de aangeleverde inkomensgegevens is vastgesteld dat het inkomen van de kandidaat te hoog is.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;INL;Inkomen te laag;Een aanbieding is ingetrokken, omdat op basis van de aangeleverde inkomensgegevens is vastgesteld dat het inkomen van de kandidaat te laag is.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;NIE;Niet verschenen bij afspraak;Een aanbieding is ingetrokken, omdat een kandidaat niet is verschenen op de gemaakte afspraak.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;ONG;Ongeschikt als huurder;Een aanbieding is ingetrokken, omdat een kandidaat ongeschikt wordt geacht als huurder.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;ONT;Onterecht aangeboden;Een aanbieding is ingetrokken, omdat de eenheid ten onrechte is aangeboden.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;PAO;Parkeer, bergingruimte onvoldoende;Een aanbieding is geweigerd, met als aangegeven reden dat de parkeer en/of bergruimte niet voldoet.;;;AANBIEDINGSTATUS.GEW;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;PER;Persoonlijke omstandigheden;Een aanbieding is geweigerd, met als aangegeven reden persoonlijke omstandigheden.;;;AANBIEDINGSTATUS.GEW;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;REA;Reactietermijn verlopen;Een aanbieding is ingetrokken, omdat een kandidaat niet binnen de reactietermijn heeft gereageerd.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;TOE;Toewijzing andere kandidaat;Een aanbieding is ingetrokken, omdat de eenheid is toegewezen aan een andere kandidaat.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;WBN;Woning bevalt niet;Een aanbieding is geweigerd, met als aangegeven reden dat de woning niet voldoet.;;;AANBIEDINGSTATUS.GEW;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;WKN;Woningkwaliteit bevalt niet;Een aanbieding is geweigerd, met als aangegeven reden dat de kwaliteit van de woning niet voldoet.;;;AANBIEDINGSTATUS.GEW;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;WOB;Woonomgeving bevalt niet;Een aanbieding is geweigerd, met als aangegeven reden dat de woonomgeving niet voldoet.;;;AANBIEDINGSTATUS.GEW;Woonruimteverdeling
AANBIEDINGSTATUS;AAN;Aangeboden;Er is aanbieding gedaan aan een of meer kandidaten.;;;;Woonruimteverdeling
AANBIEDINGSTATUS;GEW;Geweigerd;Een kandidaat heeft een verstrekte aanbieding afgewezen.;;;;Woonruimteverdeling
AANBIEDINGSTATUS;ING;Ingetrokken;Een aan een kandidaat verstrekte aanbieding is ingetrokken.;;;;Woonruimteverdeling
AANBIEDINGSTATUS;TOE;Toegewezen;Een eenheid is toegewezen aan een kandidaat.;;;;Woonruimteverdeling
AANVULLENDEDOELGROEP;BSTU;Buitenlandse studenten;Woonruimte is bestemd voor en/of huurder is een uit het buitenland afkomstige student aan een instelling voor hoger of wetenschappelijk onderwijs;;;DOELGROEP.STU;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;DAK;ex-dak- en thuislozen;Woonruimte is bestemd voor en/of huurder is een ex-dak- of thuisloze, eventueel met (behoefte aan) begeleiding.;;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;GEB;Personen met een Geringe Ergonomische Beperking;Woonruimte is bestemd voor mensen met een geringe ergonomische beperking. Ook wel GEB-woningen genoemd.;22-9-2023;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;GED;ex-gedetineerden;Woonruimte is bestemd voor en/of huurder is een ex-gedetineerde, eventueel met (behoefte aan) begeleiding.;;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;GEE;Geestelijk gehandicapten;VERVALLEN - Gebruik VER;;6-10-2023;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;GGZ;GGZ-Patiënten;Woonruimte is bestemd voor en/of huurder is een zelfstandig wonende in behandeling bij en/of begeleid door een GGZ instelling.;;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;KUN;Kunstenaars;Woonruimte is bestemd voor en/of huurder is een kunstenaar (de woonruimte is ook als atelier te gebruiken, of bij de woonruimte is een afzonderlijke atelierruimte beschikbaar).;;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;LIC;Lichamelijk beperkten;Woonruimte is bestemd voor en/of huurder heeft een lichamelijke beperking (motorisch, zintuigelijk en/of chronisch fysiologisch van aard).;;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;OUD;Ouderen;VERVALLEN - Gebruik doelgroep SEN in combinatie met woonvorm GRO.;;8-9-2023;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;PSY;(ex-) psychiatrische patiënten;Woonruimte is bestemd voor en/of huurder is een (ex-) psychiatrische patiënt, eventueel met (behoefte aan) begeleiding.;;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;SKA;Skaeve Huse;Woonruimte is bestemd voor en/of huurder zorgt voor zware overlast in de omgeving. Dit zijn bijvoorbeeld moeilijk te huisvesten drank- of drugsverslaafden.;;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;STH;Statushouders;Woonruimte is bestemd voor en/of huurder is een als vluchteling erkende asielzoeker (statushouder of vergunninghouder);;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;VBE;Verstandelijk beperkten;Woonuimte is bestemd voor en/of huurder heeft een verstandelijke beperking.;20-10-2023;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;VER;Verstandelijk beperkten;VERVALLEN - Gebruik code VBE;6-10-2023;20-10-2023;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;VER;(ex)-verslaafden;Woonruimte is bestemd voor en/of huurder is een (ex-) verslaafde, eventueel met (behoefte aan) begeleiding.;;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;ZIN;Zorgindicatie;Woonruimte is bestemd voor en/of huurder heeft een zorgindicatie.;8-9-2023;;;Vastgoed, Woonruimteverdeling
AANVULLENDEDOELGROEP;ZORI;Zorgindicatie;VERVALLEN - Gebruik code ZIN;;8-9-2023;DOELGROEP.ZOR;Vastgoed, Woonruimteverdeling
ACCOUNTSTATUS;BEE;Beëindigd;Het account is beeïndigd.;;;;Relaties
ACCOUNTSTATUS;GEA;Geactiveerd;Het account is geactiveerd.;;;;Relaties
ACCOUNTSTATUS;GEB;Geblokkeerd;Het account is (tijdelijk) geblokkeerd. Bijvoorbeeld door onjuiste invoer wachtwoord.;;;;Relaties
ACCOUNTSTATUS;GER;Geregistreerd;Het account is aangevraagd.;;;;Relaties
ADRESSOORT;BUI;Buitenlands adres;Een buitenlands adres;;;;Relaties
ADRESSOORT;EEN;Eenheid adres;De adresgegevens van een eenheid, ook wel woonadres;;;;Relaties
ADRESSOORT;POS;Postadres;Het postadres;;;;Relaties
AFLETTERSTATUS;DEE;Deels afgeletterd;Boeking is deels afgeletterd tegen andere boekingen. Voor vorderingen houdt dit in dat er betalingen zijn gedaan maar dat er nog een openstaand saldo is. Voor ontvangsten betekent dit dat een deel van de ontvangst is afgeletterd tegen een vordering maar dat er nog saldo op de boeking staat die nog gekoppeld moet worden.;07-07-2023;;;Financien
AFLETTERSTATUS;NIE;Niet afgeletterd;Boeking is (nog) niet afgeletterd tegen andere boekingen. Voor vorderingen houdt dit in dat deze nog volledig open staat. Voor ontvangsten betekent dit dat deze nog niet gekoppeld is aan een vordering.;07-07-2023;;;Financien
AFLETTERSTATUS;VOL;Volledig afgeletterd;Boeking is volledig afgeletterd tegen andere boekingen. Voor vorderingen houdt dit in dat er geen openstaand saldo meer is. Voor ontvangsten betekent dit dat de ontvangst volledig is afgeletterd tegen vordering(en).;07-07-2023;;;Financien
AFREKENWIJZESOORT;AFK;Afkoop;De onderhoudsorder wordt niet afgerekend omdat dit type onderhoud is afgekocht op totaalniveau.;14-4-2023;;;Onderhoud
AFREKENWIJZESOORT;GAR;Garantie;De onderhoudsorder wordt niet afgerekend omdat de werkzaamheden onder garantie vallen;14-4-2023;;;Onderhoud
AFREKENWIJZESOORT;NCE;Nacalculatie eenheidsprijzen;De onderhoudsorder wordt afgerekend op basis van aantal eenheden x eenheidsrpijs. Bij bestedingsoort kan hier gebruik gemaakt worden van de soort Vaste taakprijs;14-4-2023;;;Onderhoud
AFREKENWIJZESOORT;NCR;Nacalculatie regie;De onderhoudsorder wordt afgerekend op basis van de werkelijke bestedingen (arbeidstijd, reistijd, materiaal);14-4-2023;;;Onderhoud
AFREKENWIJZESOORT;VPR;Vaste prijs;De onderhoudsorder wordt afgerekend op basis van een vaste (totaal-)prijs;14-4-2023;;;Onderhoud
AFSPRAAKSTATUS;AAN;Aangevraagd;De afspraak is nog niet gepland, maar wel aangevraagd. Daarbij kan eventueel een voorkeur bloktijd zijn opgegeven.;;;;Relaties
AFSPRAAKSTATUS;AFG;Afgerond;De afspraak heeft plaatsgevonden.;;;;Relaties
AFSPRAAKSTATUS;ANN;Geannuleerd;De afspraak is geannuleerd.;;;;Relaties
AFSPRAAKSTATUS;GEP;Gepland;De afspraak is gepland. Hierbij zal doorgaans ook een medewerker zijn toegewezen.;;;;Relaties
AFSPRAAKVERZOEKSOORT;EIN;Eindinspectie;Verzoek voor het maken van een afspraak voor een eindinspectie naar aanleiding van de ontvangst van een huuropzegging.;;;;Relaties
AFSPRAAKVERZOEKSOORT;VOO;Voorinspectie;Verzoek voor het maken van een afspraak voor een voorinspectie naar aanleiding van de ontvangst van een huuropzegging.;;;;Relaties
AFWEZIGHEIDSOORT;ADO;Adoptieverlof;;26-08-2022;;;Organisatie
AFWEZIGHEIDSOORT;BIJ;Bijzonder verlof;;26-08-2022;;;Organisatie
AFWEZIGHEIDSOORT;CAL;Calamiteitenverlof;;26-08-2022;;;Organisatie
AFWEZIGHEIDSOORT;GES;Geschorst;;26-08-2022;;;Organisatie
AFWEZIGHEIDSOORT;NON;Non-actief;;26-08-2022;;;Organisatie
AFWEZIGHEIDSOORT;ONB;Onbetaald verlof;;26-08-2022;;;Organisatie
AFWEZIGHEIDSOORT;OUD;Ouderschapsverlof;;26-08-2022;;;Organisatie
AFWEZIGHEIDSOORT;VER;Verlof (regulier);;26-08-2022;;;Organisatie
AFWEZIGHEIDSOORT;ZIE;Ziek;;26-08-2022;;;Organisatie
AFWEZIGHEIDSOORT;ZOR;Zorgverlof;;26-08-2022;;;Organisatie
AFWEZIGHEIDSOORT;ZWA;Zwangerschapsverlof;;26-08-2022;;;Organisatie
AKTESOORT;NOT;Notariële akte;Akte vastgelegd bij de notaris.;;;;Vastgoed
AKTESOORT;OND;Onderhandse akte;Akte die door twee of meer partijen is vastgesteld (onderhands);;;;Vastgoed
AUTHENTIEKGEGEVENBRON;KLA;Klantcontact;Gegevens zijn aangeleverd via de balie of klantcontactcentrum.;17-1-2024;;;Dossier
AUTHENTIEKGEGEVENBRON;BSN;BvBSN;Gegevens zijn gedeeld vanuit de basisvoorziening burgerservicenummer;06-12-2023;;;Dossier
AUTHENTIEKGEGEVENBRON;DUO;Dienst uitvoering onderwijs;Gegevens zijn gedeeld vanuit DUO.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENBRON;IRF;Inkomensregistratieformulier;Gegevens zijn gedeeld vanuit het Inkomensregistratieformulier.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENBRON;MIJ;Mijn Overheid;Gegevens zijn gedeeld vanuit Mijn Overheid.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENBRON;QII;Qii;Gegevens zijn gedeeld vanuit Qii.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENBRON;UWV;UWV;Gegevens zijn gedeeld vanuit UWV.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENSOORT;AIN;Actueel inkomen;Actueel inkomen voor als iemands inkomenssituatie is veranderd.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENSOORT;DID;Digitale identiteit;Versleuteld BSN nummer.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENSOORT;GIN;Geregistreerd inkomen;Geregistreerde inkomen.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENSOORT;HUI;Huidhoudsamenstelling;Huidhoudsamenstelling uit BRP.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENSOORT;NAW;Naam Adres Woonplaats;NAW gegevens van een natuurlijke persoon.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENSOORT;OPL;Opleiding;Opleiding en studennummer.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENSOORT;WER;Werkgevers;Actuele werkgevers.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENSOORT;WOO;Woongeschiedenis;De woongeschiedenis voor het bepalen in welke gemeenten men wanneer heeft gewoond.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENSTATUS;GEV;Gevalideerd;Gegevens zijn gevalideerd door de bron.;12-5-2023;;;Dossier
AUTHENTIEKGEGEVENSTATUS;VER;Vervallen;Gegevens zijn vervallen doordat deze zijn verlopen.;12-5-2023;;;Dossier
BEDRIJFSOORT;BOU;Bouwbedrijf;Financieel bedrijf dat zich bezighoudt met bouwactiviteiten.;;;;Financiën
BEDRIJFSOORT;MON;Monumenten;Financieel bedrijf dat zich bezighoudt met beheeractiviteiten van panden met een monumenten status.;;;;Financiën
BEDRIJFSOORT;OND;Onderhoudsbedrijf;Financieel bedrijf dat zich bezighoudt met onderhoudsactiviteiten.;;;;Financiën
BEDRIJFSOORT;PRO;Projectontwikkeling;Financieel bedrijf dat zich bezighoudt met projectontwikkeling.;;;;Financiën
BEDRIJFSOORT;SER;Servicebedrijf;Financieel bedrijf dat zich bezighoudt met het verlenen van diensten.;;;;Financiën
BEDRIJFSOORT;TI;Toegelaten instelling;Financieel bedrijf dat door de Autoriteit woningcorporaties (Aw) is toegelaten als toegelaten instelling volgens de Woningwet.;;;;Financiën
BEDRIJFSOORT;VVE;Vereniging van Eigenaren;Vereniging van Eigenaren van een cluster van eenheden binnen het bezit van een corporatie, die is opgericht nadat een corporatie een of meer eenheden binnen de cluster heeft verkocht.;;;;Financiën
BEDRIJFSOORT;WOM;Wijkontwikkelingsmaatschappij;Financieel bedrijf die de regie van projectontwikkeling, uitvoering en beheer van woningen in een wijk op zich neemt, omdat de complexiteit van een gebied te groot is voor één partij (bijvoorbeeld een woningcorporatie).;;;;Financiën
BEDRIJFSOORT;WWA;Woonwagenzaken;Financieel bedrijf dat zich bezighoudt met beheeractiviteiten van woonwagens en standplaatsen.;;;;Financiën
BEGROTINGVERSIE;ACB;Actueel budget;Som van mutatie en oorspronkelijk budget van een budgetregel voor een jaar of periode.;;;;Financiën
BEGROTINGVERSIE;MUB;Mutatie budget;Gewijzigd bedrag van een budgetregel voor een jaar of periode.;;;;Financiën
BEGROTINGVERSIE;OOB;Oorspronkelijk budget;Oorspronkelijk bedrag van een budgetregel voor een jaar of een periode.;;;;Financiën
BESTEMMING;HUU;Huur;Eenheid is bestemd voor verhuur bij mutatie.;;;;Vastgoed
BESTEMMING;KOO;Koop;Eenheid is bestemd voor verkoop bij mutatie.;;;;Vastgoed
BESTEMMING;SLO;Sloop;Eenheid is bestemd voor sloop bij mutatie.;;;;Vastgoed
BETAALGEGEVENSOORT;BAN;Bankrekening;Het betaalgegeven van een relatie, behorende bij een overeenkomst,  is een bankrekening.;;;;Relaties
BETAALGEGEVENSOORT;CRE;Creditcard;Het betaalgegeven van een relatie, behorende bij een overeenkomst,  is een credit card.;;;;Relaties
BETAALGEGEVENSOORT;PAY;Paypal account;Het betaalgegeven van een relatie, behorende bij een overeenkomst,  is een paypal account.;;;;Relaties
BETAALGEGEVENSOORT;TRA;TransferMate;Het betaalgegeven van een relatie, behorende bij een overeenkomst,  is een TransferMate account.;;;;Relaties
BETAALWIJZEDEELSOORT;MAX;Maximaal bedrag;Het maximale bedrag dat door de betaler wordt bijgedragen aan de huur. Bijvoorbeeld de ouders van de student dragen maximaal EUR 300 bij aan de huur.;;;;Financiën
BETAALWIJZEDEELSOORT;PER;Percentage;Het percentage van de huur dat door de betaler wordt bijgedragen. Bijvoorbeeld een stel waarbij beiden de helft van de huur betalen.;;;;Financiën
BETAALWIJZEDEELSOORT;RES;Restant bedrag;Het restant van de huur dat door de betreffende betaler wordt bijgedragen. Bijvoorbeeld de student die het restant van de huur betaalt na aftrek van de bijdrage van zijn/haar ouders.;;;;Financiën
BETAALWIJZESOORT;HND;Handmatige overboeking;Een door de betaler geïnitieerde betaling, via een bankoverboeking , een voldaan betaalverzoek of via een PIN-betaling.;;;;Financiën
BETAALWIJZESOORT;INC;Incasso;Een door de ontvanger geïnitieerde incasso, er moet een Incassomachtiging aan ten grondslag liggen.;;;;Financiën
BETALERSOORT;DER;Derden;VERVALLEN;;1-1-2022;;Financiën
BETALERSOORT;HUU;Huurder;VERVALLEN;;1-1-2022;;Financiën
BETALERSOORT;VGE;Vastgoedeigenaar;VERVALLEN;;1-1-2022;;Financiën
BETALINGSREGELINGEINDEREDEN;AFB;Afbetaald;De betalingsregeling is beëindigd omdat deze is afbetaald.;;;;Financiën
BETALINGSREGELINGEINDEREDEN;ONI;Oninbaar;De betalingsregeling is beëindigd omdat deze oninbaar is gebleken.;;;;Financiën
BETALINGSREGELINGEINDEREDEN;SAN;Restschuld gesaneerd;De betalingsregeling is beëindigd omdat de restschuld is gesaneerd.;;;;Financiën
BETALINGSREGELINGEINDEREDEN;VOL;Regeling voldoet niet;De betalingsregeling is (voortijdig) beëindigd omdat de regeling niet voldoet in de specifieke situatie.;;;;Financiën
BETALINGSREGELINGSTATUS;AAN;Aangevraagd;Ook wel aangemaakt.;;;;Financiën
BETALINGSREGELINGSTATUS;ACT;Actief;Toegekende betalingsregeling die loopt.;;;;Financiën
BETALINGSREGELINGSTATUS;ANN;Geannuleerd;Tussentijds gestopte regeling.;;;;Financiën
BETALINGSREGELINGSTATUS;BEE;Beëindigd;Ook wel afgerond. Alle betalingsverplichtingen zijn voldaan.;;;;Financiën
BETALINGSREGELINGSTATUS;BEV;Bevroren;Tussentijds bevroren betalingsregeling omdat het niet mogelijk is om te voldoen aan de regeling.;;;;Financiën
BOEKINGDETAILSOORT;AAN;Aanmaning;Boeking voor het verzoek tot betalen aan een huurder of debiteur van een of meer openstaande achterstallige vorderingen, dan wel de ontvangst naar aanleiding daarvan.;;;;Financiën
BOEKINGDETAILSOORT;AFB;Afboeking;Boeking voor afboeken van het totale saldo van een openstaande vordering.;;;;Financiën
BOEKINGDETAILSOORT;BAN;Bank;Boeking voor  een ontvangst of uitbetaling die via een bankrekening is ontvangen of uitgevoerd.;;;;Financiën
BOEKINGDETAILSOORT;BET;Betalingsregeling;Boeking die het totaalbedrag van een betaalafspraak vertegenwoordigt, die is gemaakt voor een of meer openstaande vorderingen.;;;;Financiën
BOEKINGDETAILSOORT;BOR;Borg;Boeking van een door een huurder aan een verhuurder te betalen bedrag als onderpand ter dekking voor mogelijke kosten voor toekomstig herstel van schade dan wel de ontvangst of uitbetaling daarvan.;;;;Financiën
BOEKINGDETAILSOORT;BRT;Betalingsregelingtermijn;Boeking van een periodiek te ontvangen of ontvangen betaling naar aanleiding van een met een huurder of debiteur afgesproken betalingsregeling.;;;;Financiën
BOEKINGDETAILSOORT;CRE;Creditnota;Boeking voor het geheel of gedeeltelijk corrigeren van een debiteurenfactuur.;;;;Financiën
BOEKINGDETAILSOORT;EIN;Eindafrekening;Boeking voor een verzamelnota van alle openstaande vorderingen en schulden van een vertrekkende huurder, dan wel de ontvangst of uitbetaling naar aanleiding daarvan.;;;;Financiën
BOEKINGDETAILSOORT;EVN;Eerste verhuurnota;Boeking voor een verzamelnota van de eerste maandhuur en eventueel bijkomende kosten voor een nieuwe huurder, dan wel de ontvangst naar aanleiding daarvan.;;;;Financiën
BOEKINGDETAILSOORT;FAC;Factuur;Boeking van een vordering voor een geleverde dienst of product door een corporatie anders dan de verhuur van een eenheid of object, dan wel een ontvangst naar aanleiding daarvan.;;;;Financiën
BOEKINGDETAILSOORT;PRO;Prolongatie;Boeking van een vordering of ontvangst naar aanleiding van de maandelijkse huurprolongatie.;;;;Financiën
BOEKINGDETAILSOORT;STO;Storno;Boeking van de terugboeking van een uitgevoerde incasso, op verzoek van een huurder of doordat deze niet kan worden uitgevoerd door de bank.;;;;Financiën
BOEKINGDETAILSOORT;TER;Terugbetaling;Boeking van de betaling aan een huurder of derde van een teveel of ten onrechte betaald bedrag.;;;;Financiën
BOEKINGDETAILSOORT;VOU;Voucher;Boeking van toename of afname van een saldo binnen een spaarsysteem, die huurders kunnen inwisselen bij de corporatie of soms ook bij ondernemers in de buurt.;;;;Financiën
BOEKINGSOORT;BEP;Belastingen en premies SV;Boeking van af te dragen / afdracht van loonheffing, premies en sociale verzekeringswetten op salarissen, btw op belastbare verhuur en verlegde btw op onderhoudsfacturen.;;;;Financiën
BOEKINGSOORT;BUD;Budget;Boeking voor opvoer of wijziging van een budget of budgetregel;;;;Financiën
BOEKINGSOORT;MEM;Memoriaal;Boeking voor het corrigeren of afboeken van het saldo van een boeking of groep van boekingen, meestal van soort VOR.;;;;Financiën
BOEKINGSOORT;OHD;Onderhoud;Boeking ten behoeve van of voortkomend uit de onderhoudsadministratie.;;;;Financiën
BOEKINGSOORT;ONT;Ontvangst;Boeking van een ontvangen bedrag in relatie tot een andere boeking of groep van boekingen, zoals een vordering, aanmaning, borg, betalingsregelingtermijn of eindafrekening.;;;;Financiën
BOEKINGSOORT;PRJ;Projecten;Boeking ten behoeve van of voortkomend uit de projectadministratie.;;;;Financiën
BOEKINGSOORT;SAL;Salaris;Boeking ten behoeve van of voortkomend uit de salarisadministratie.;;;;Financiën
BOEKINGSOORT;SKS;Servicekosten;Boeking ten behoeve van of voortkomend uit de servicekostenadministratie.;;;;Financiën
BOEKINGSOORT;UIT;Uitbetaling;Boeking van een betaald bedrag in relatie tot een andere boeking of groep van boekingen, zoals een vordering, borg of eindafrekening.;;;;Financiën
BOEKINGSOORT;VOR;Vordering;Boeking van een te vorderen bedrag op een huurder of derde.;;;;Financiën
BOEKINGSTATUS;FIA;Gefiatteerd;Boeking is definitief en niet meer wijzigbaar.;;;;Financiën
BOEKINGSTATUS;HIS;Historisch;Boeking is onderdeel van een afgesloten administratieve periode of boekjaar.;;;;Financiën
BOEKINGSTATUS;VRL;Voorlopig;Boeking is niet definitief en kan worden gewijzigd of verwijderd.;;;;Financiën
BOEKJAARPERIODESOORT;4WE;4-weken;Deel van een kalenderjaar met een vaste duur van 4 aaneengesloten kalenderweken.;;;;Financiën
BOEKJAARPERIODESOORT;HLJ;Halfjaar;Deel van een kalenderjaar met een vaste duur van 6 aaneengesloten kalendermaanden.;;;;Financiën
BOEKJAARPERIODESOORT;JAR;Jaar;Periode die uitgaat van een kalenderjaar.;;;;Financiën
BOEKJAARPERIODESOORT;KWA;Kwartaal;Deel van een kalenderjaar met een vaste duur van 3 aaneengesloten kalandermaanden.;;;;Financiën
BOEKJAARPERIODESOORT;MAA;Maand;Deel van een kalenderjaar met een vaste duur van 1 kalendermaand.;;;;Financiën
BOEKJAARPERIODESOORT;TER;Tertiaal;Deel van een kalenderjaar met een vaste duur van 4 aaneengesloten kalandermaanden.;;;;Financiën
BOEKJAARPERIODESOORT;WEE;Week;Deel van een kalenderjaar met een vaste duur van 3 aaneengesloten kalendermaanden.;;;;Financiën
BOEKJAARPERIODESTATUS;GSP;Gesloten periode;Periode waarin gegevens niet meer kunnen worden gewijzigd, tiegevoegd of verwijderd.;;;;Financiën
BOEKJAARPERIODESTATUS;OPP;Open periode;Periode waarin gegevens kunnen worden gewijzigd, tiegevoegd of verwijderd.;;;;Financiën
BOEKJAARSTATUS;GES;Gesloten;;;;;Financiën
BOEKJAARSTATUS;HUD;Huidig;;;;;Financiën
BOEKJAARSTATUS;OPN;Open;;;;;Financiën
BOEKJAARSTATUS;VRG;Vorig;;;;;Financiën
BOUWKUNDIGELEMENTDETAILSOORT;AAN;Aanrecht;Werkoppervlak in keukens, uitgerust met spoelbak en ruimte voor het bereiden van voedsel. Relatie met IFC codering (IfcFurniture);08-03-2024;;BOUWKUNDIGELEMENTSOORT.VOO;Vastgoed
BOUWKUNDIGELEMENTDETAILSOORT;AFD;Afdekker;Beschermend element dat het bovenste deel van een constructie bedekt tegen weersinvloeden. Relatie met IFC codering (IfcCovering.ROOFING);08-03-2024;;BOUWKUNDIGELEMENTSOORT.VOO;Vastgoed
BOUWKUNDIGELEMENTDETAILSOORT;ARM;Armatuur;Compleet toestel inclusief behuizing, lamp en fittingen voor lichtverspreiding. Relatie met IFC codering (IfcLightFixture);08-03-2024;;BOUWKUNDIGELEMENTSOORT.VOO;Vastgoed
